Last_Name,First_Name,Student_Type,Hall,Room,Room_Type,Citizenship_DESC,DOB,Email
Knapp,Nico,Ent First Year,Squirtle House,305,Single,International,5/28/1996,nknapp@pokeacademy.edu
Sandoval,Stephon,Ent First Year,Rowlet House,207,Triple,Domestic,8/12/1998,ssandoval@pokeacademy.edu
Mahoney,Johnny,Ent First Year,Bulbasaur House,201,Triple,Domestic,8/21/2004,jmahoney@pokeacademy.edu
Maxwell,Micaela,Ent First Year,Bulbasaur House,214,Double,Domestic,3/28/1990,mmaxwell@pokeacademy.edu
Bryan,Steven,Ent First Year,Charmander House,306,Single,Domestic,10/6/1999,sbryan@pokeacademy.edu
Rangel,Reid,Ent First Year,Ho-Oh House,304,Triple,Domestic,4/15/2002,rrangel@pokeacademy.edu
Zuniga,Alex,Ent Transfer,Gengar House,402,Quadruple,Domestic,12/2/1991,azuniga@pokeacademy.edu
Cervantes,Heidi,Ent First Year,Gengar House,309,Double,Domestic,10/6/2003,hcervantes@pokeacademy.edu
Lester,Christopher,Ent First Year,Caterpie House,301,Triple,Domestic,6/24/1994,clester@pokeacademy.edu
Pollard,Sebastian,Ent First Year,Togepi House,216,Double,Domestic,8/14/2002,spollard@pokeacademy.edu
Proctor,Vernon,Ent First Year,Bayleef House,307,Quadruple,Domestic,1/10/1990,vproctor@pokeacademy.edu
Wright,Martina,Ent First Year,Ho-Oh House,207,Quadruple,International,2/17/2005,mwright@pokeacademy.edu
Davidson,Kiana,Ent First Year,Regice House,207,Single,International,7/24/1991,kdavidson@pokeacademy.edu
Savage,Edward,Ent Transfer,Rowlet House,202,Quadruple,Domestic,8/13/1991,esavage@pokeacademy.edu
Stout,Abbie,Ent First Year,Sylveon House,408,Triple,Domestic,4/6/2000,astout@pokeacademy.edu
Sellers,Willie,Ent First Year,Pikachu Hall,204,Quadruple,Domestic,7/21/1999,wsellers@pokeacademy.edu
Ford,Alan,Ent Transfer,Zapdos House,203,Quadruple,Domestic,4/6/2002,aford@pokeacademy.edu
Pope,Zechariah,Ent First Year,Cyndaquil House,510,Double,Domestic,1/1/2005,zpope@pokeacademy.edu
Black,Alessandro,Ent First Year,Zapdos House,412,Triple,Domestic,1/24/2002,ablack@pokeacademy.edu
Vasquez,Demarco,Ent First Year,Charmander House,505,Double,Domestic,9/1/1997,dvasquez@pokeacademy.edu
Mccormick,Camila,Ent First Year,Cyndaquil House,506,Double,Domestic,5/18/1992,cmccormick@pokeacademy.edu
Carney,Wyatt,Ent First Year,Oddish House,303,Single,Domestic,7/26/1999,wcarney@pokeacademy.edu
Vasquez,Alonso,Ent First Year,Raichu House,417,Triple,Domestic,7/29/1996,avasquez@pokeacademy.edu
Graham,Mariano,Ent Transfer,Bayleef House,214,Double,Domestic,5/23/2006,mgraham@pokeacademy.edu
Avila,Donavan,Ent First Year,Caterpie House,204,Double,Domestic,8/6/2004,davila@pokeacademy.edu
Carlson,Marvin,Ent First Year,Pikachu Hall,410,Single,Domestic,10/3/2005,mcarlson@pokeacademy.edu
Preston,Vicente,Ent Transfer,Articuno House,308,Double,Domestic,1/31/1996,vpreston@pokeacademy.edu
Riley,Chanel,Ent First Year,Cubone House,406,Triple,Domestic,12/25/1992,criley@pokeacademy.edu
Mercado,Simeon,Ent First Year,Pidgey House,406,Quadruple,Domestic,4/5/2003,smercado@pokeacademy.edu
Young,Michelle,Ent First Year,Leafeon House,502,Triple,Domestic,9/7/1996,myoung@pokeacademy.edu
Andrade,Rickey,Ent First Year,Umbreon House,313,Single,Domestic,11/21/1990,randrade@pokeacademy.edu
Knox,Samantha,Ent Transfer,Mudkip House,307,Triple,International,3/7/2006,sknox@pokeacademy.edu
Davies,Jessie,Ent Transfer,Cubone House,109,Triple,International,5/23/2001,jdavies@pokeacademy.edu
Mckenzie,Lesly,Ent First Year,Togepi House,310,Quadruple,Domestic,10/20/2005,lmckenzie@pokeacademy.edu
Gomez,Anthony,Ent First Year,Wailord House,205,Single,Domestic,2/4/1998,agomez@pokeacademy.edu
Watkins,Dontae,Ent First Year,Bayleef House,109,Double,International,4/21/1991,dwatkins@pokeacademy.edu
Duffy,Fidel,Ent First Year,Umbreon House,206,Triple,Domestic,7/23/2004,fduffy@pokeacademy.edu
Rivers,Melvin,Ent First Year,Articuno House,105,Triple,Domestic,2/26/2005,mrivers@pokeacademy.edu
Turner,Jackeline,Ent First Year,Umbreon House,417,Double,Domestic,4/24/1996,jturner@pokeacademy.edu
Woodard,Trevon,Ent First Year,Cyndaquil House,107,Single,Domestic,5/18/1996,twoodard@pokeacademy.edu
Brooks,Lilly,Ent Transfer,Gengar House,406,Double,Domestic,7/27/2006,lbrooks@pokeacademy.edu
Conway,Gianni,Ent First Year,Articuno House,301,Triple,Domestic,9/24/2003,gconway@pokeacademy.edu
Horton,Jacey,Ent Transfer,Ivysaur House,210,Single,International,3/9/1998,jhorton@pokeacademy.edu
Houston,Triston,Ent First Year,Umbreon House,202,Double,Domestic,1/1/1996,thouston@pokeacademy.edu
Gray,Dale,Ent Transfer,Articuno House,302,Triple,Domestic,9/20/1995,dgray@pokeacademy.edu
Tate,Theresa,Ent First Year,Ho-Oh House,406,Double,Domestic,7/20/2001,ttate@pokeacademy.edu
Stephenson,Aimee,Ent First Year,Moltres House,301,Quadruple,International,4/5/1992,astephenson@pokeacademy.edu
Douglas,Brooks,Ent First Year,Mudkip House,408,Double,Domestic,4/8/2001,bdouglas@pokeacademy.edu
Long,Kaia,Ent Transfer,Sylveon House,109,Single,Domestic,1/17/2003,klong@pokeacademy.edu
Ibarra,Isabelle,Ent Transfer,Gengar House,502,Triple,Domestic,7/12/2001,iibarra@pokeacademy.edu
Cabrera,Osvaldo,Ent First Year,Gengar House,415,Triple,International,9/17/2002,ocabrera@pokeacademy.edu
Nielsen,Cordell,Ent Transfer,Ivysaur House,310,Quadruple,International,6/16/2003,cnielsen@pokeacademy.edu
Maldonado,Darian,Ent Transfer,Sylveon House,106,Double,International,7/22/1999,dmaldonado@pokeacademy.edu
Estes,Raphael,Ent Transfer,Ho-Oh House,301,Single,Domestic,7/26/1993,restes@pokeacademy.edu
Horton,Ronald,Ent Transfer,Articuno House,307,Double,Domestic,1/18/1996,rhorton@pokeacademy.edu
Perry,Melinda,Ent First Year,Bayleef House,104,Triple,Domestic,4/3/2002,mperry@pokeacademy.edu
Webb,Phoenix,Ent First Year,Lickitung House,105,Single,Domestic,4/17/1999,pwebb@pokeacademy.edu
Harper,Jaden,Ent First Year,Mudkip House,501,Single,Domestic,6/1/1993,jharper@pokeacademy.edu
Love,Tristen,Ent First Year,Piplup House,201,Single,Domestic,1/6/2001,tlove@pokeacademy.edu
Mcintosh,Melody,Ent First Year,Cubone House,110,Double,Domestic,3/22/2006,mmcintosh@pokeacademy.edu
Wall,Gordon,Ent First Year,Mew House,107,Triple,Domestic,10/24/1991,gwall@pokeacademy.edu
George,Alec,Ent First Year,Piplup House,416,Single,Domestic,12/17/1991,ageorge@pokeacademy.edu
Duarte,Jefferson,Ent Transfer,Charmander House,508,Triple,International,9/1/2000,jduarte@pokeacademy.edu
Davila,Berenice,Ent First Year,Regice House,409,Triple,Domestic,11/23/1993,bdavila@pokeacademy.edu
Hayes,Kaitlynn,Ent First Year,Sylveon House,201,Double,International,5/15/1997,khayes@pokeacademy.edu
Best,Branson,Ent First Year,Bulbasaur House,302,Triple,Domestic,12/9/2000,bbest@pokeacademy.edu
Stein,Madelyn,Ent First Year,Gengar House,308,Double,Domestic,7/17/1997,mstein@pokeacademy.edu
Johns,Janiya,Ent First Year,Cyndaquil House,214,Triple,International,5/26/1997,jjohns@pokeacademy.edu
Lindsey,Amya,Ent First Year,Squirtle House,410,Double,Domestic,1/5/1993,alindsey@pokeacademy.edu
Ross,Aubree,Ent First Year,Clefairy House,302,Single,Domestic,1/9/1994,aross@pokeacademy.edu
Weaver,Claire,Ent First Year,Spoink House,103,Triple,International,11/3/1999,cweaver@pokeacademy.edu
Rhodes,Kaylynn,Ent Transfer,Vulpix House,201,Single,Domestic,8/25/2002,krhodes@pokeacademy.edu
Bradford,Barry,Ent First Year,Charmander House,205,Triple,International,8/17/1992,bbradford@pokeacademy.edu
Hobbs,Spencer,Ent First Year,Mew House,408,Double,Domestic,1/2/2001,shobbs@pokeacademy.edu
Bentley,Addison,Ent First Year,Moltres House,508,Single,Domestic,8/5/1992,abentley@pokeacademy.edu
Donovan,Anissa,Ent First Year,Ivysaur House,101,Double,International,4/29/2002,adonovan@pokeacademy.edu
Beasley,Celina,Ent First Year,Luxio House,110,Quadruple,Domestic,10/19/2002,cbeasley@pokeacademy.edu
Ibarra,Jamel,Ent First Year,Vulpix House,402,Single,International,4/26/1997,jibarra@pokeacademy.edu
Schneider,Meagan,Ent First Year,Cubone House,402,Quadruple,International,8/2/2002,mschneider@pokeacademy.edu
Roberts,Estrella,Ent First Year,Togepi House,407,Double,Domestic,7/24/1994,eroberts@pokeacademy.edu
Matthews,Esmeralda,Ent First Year,Rowlet House,102,Triple,Domestic,5/10/1993,ematthews@pokeacademy.edu
George,Carlo,Ent First Year,Piplup House,104,Quadruple,Domestic,7/15/2005,cgeorge@pokeacademy.edu
Adkins,Rylie,Ent First Year,Sylveon House,507,Double,Domestic,3/8/2003,radkins@pokeacademy.edu
Cruz,Ellen,Ent First Year,Articuno House,404,Quadruple,Domestic,11/17/1997,ecruz@pokeacademy.edu
Cunningham,Kasandra,Ent First Year,Squirtle House,109,Triple,Domestic,4/30/2005,kcunningham@pokeacademy.edu
Mcbride,Amani,Ent First Year,Umbreon House,312,Single,Domestic,7/8/1998,amcbride@pokeacademy.edu
Smith,Aldo,Ent First Year,Bayleef House,312,Triple,Domestic,12/24/1994,asmith@pokeacademy.edu
Cole,Peyton,Ent First Year,Spoink House,403,Quadruple,Domestic,5/9/1993,pcole@pokeacademy.edu
Henson,Caden,Ent First Year,Cyndaquil House,201,Double,Domestic,2/4/2002,chenson@pokeacademy.edu
Stark,Rasheed,Ent Transfer,Umbreon House,209,Double,Domestic,10/25/1994,rstark@pokeacademy.edu
Norman,Helen,Ent First Year,Bayleef House,104,Single,Domestic,8/6/1998,hnorman@pokeacademy.edu
Monroe,Haylie,Ent First Year,Cubone House,308,Double,Domestic,1/12/1992,hmonroe@pokeacademy.edu
Randolph,Summer,Ent First Year,Lickitung House,202,Double,International,6/15/2006,srandolph@pokeacademy.edu
Stephenson,Deja,Ent First Year,Spoink House,107,Quadruple,International,8/4/2004,dstephenson@pokeacademy.edu
Mcclain,Jaren,Ent First Year,Squirtle House,202,Quadruple,International,10/25/1997,jmcclain@pokeacademy.edu
Horne,Lori,Ent Transfer,Farfetch'd House,208,Quadruple,Domestic,8/29/2003,lhorne@pokeacademy.edu
Bell,Lesley,Ent First Year,Togepi House,208,Single,International,6/6/2006,lbell@pokeacademy.edu
Walters,Jace,Ent First Year,Ditto House,210,Single,Domestic,10/29/2005,jwalters@pokeacademy.edu
Benitez,Leslie,Ent First Year,Wailord House,301,Triple,Domestic,9/15/2003,lbenitez@pokeacademy.edu
Atkins,London,Ent First Year,Vulpix House,306,Double,Domestic,6/26/1996,latkins@pokeacademy.edu
Hickman,Cecilia,Ent Transfer,Ho-Oh House,308,Single,Domestic,9/3/1999,chickman@pokeacademy.edu
Espinoza,Giovanni,Ent First Year,Clefairy House,416,Quadruple,Domestic,9/5/2002,gespinoza@pokeacademy.edu
Snyder,Kale,Ent First Year,Mudkip House,303,Double,Domestic,4/29/1999,ksnyder@pokeacademy.edu
Mclaughlin,Carlton,Ent Transfer,Lickitung House,106,Double,Domestic,5/3/2001,cmclaughlin@pokeacademy.edu
Robles,Mia,Ent First Year,Leafeon House,209,Quadruple,Domestic,6/5/1997,mrobles@pokeacademy.edu
Reed,Colten,Ent First Year,Piplup House,408,Single,Domestic,2/3/2001,creed@pokeacademy.edu
Sanford,Sonny,Ent First Year,Vulpix House,211,Single,Domestic,2/17/1998,ssanford@pokeacademy.edu
Charles,Zoe,Ent Transfer,Togepi House,213,Quadruple,International,7/9/2003,zcharles@pokeacademy.edu
Ortega,Toni,Ent Transfer,Gengar House,414,Double,Domestic,2/25/2000,tortega@pokeacademy.edu
Gay,Pablo,Ent Transfer,Pidgey House,305,Single,Domestic,4/29/1992,pgay@pokeacademy.edu
Alvarado,Ellis,Ent First Year,Pikachu Hall,415,Double,International,3/7/2005,ealvarado@pokeacademy.edu
Fleming,Reid,Ent First Year,Articuno House,407,Double,Domestic,2/22/2002,rfleming@pokeacademy.edu
Stevens,Gerardo,Ent First Year,Ho-Oh House,312,Quadruple,Domestic,2/4/2004,gstevens@pokeacademy.edu
Andrade,Lea,Ent First Year,Muk House,204,Triple,Domestic,10/25/1997,landrade@pokeacademy.edu
Gates,Aryanna,Ent First Year,Muk House,313,Double,Domestic,10/15/1991,agates@pokeacademy.edu
Malone,Ashly,Ent First Year,Regice House,304,Quadruple,Domestic,4/24/1997,amalone@pokeacademy.edu
Pittman,Bethany,Ent First Year,Lickitung House,305,Triple,Domestic,4/4/2001,bpittman@pokeacademy.edu
Bowman,Brianne,Ent First Year,Regice House,212,Triple,Domestic,1/18/2001,bbowman@pokeacademy.edu
Mccarty,Markus,Ent First Year,Moltres House,415,Quadruple,International,6/14/1993,mmccarty@pokeacademy.edu
Rich,Josef,Ent First Year,Moltres House,411,Double,International,3/9/2003,jrich@pokeacademy.edu
Kidd,Jessie,Ent First Year,Vulpix House,203,Triple,Domestic,6/17/2000,jkidd@pokeacademy.edu
Mcfarland,Tyreek,Ent Transfer,Cyndaquil House,411,Double,Domestic,5/8/2006,tmcfarland@pokeacademy.edu
Allen,Lexi,Ent Transfer,Luxio House,110,Quadruple,Domestic,5/25/1998,lallen@pokeacademy.edu
Blanchard,Jenna,Ent First Year,Raichu House,509,Single,Domestic,6/18/2000,jblanchard@pokeacademy.edu
Chang,Jacquelyn,Ent First Year,Mew House,201,Double,Domestic,6/7/2001,jchang@pokeacademy.edu
Dunn,Chelsea,Ent Transfer,Rowlet House,306,Triple,Domestic,4/16/1991,cdunn@pokeacademy.edu
Tapia,Joy,Ent First Year,Ditto House,216,Single,Domestic,3/28/1991,jtapia@pokeacademy.edu
Nunez,Aniyah,Ent First Year,Raichu House,510,Double,Domestic,11/23/2003,anunez@pokeacademy.edu
French,Elian,Ent First Year,Pidgey House,213,Double,Domestic,3/15/2005,efrench@pokeacademy.edu
Morrison,Orlando,Ent Transfer,Luxio House,405,Quadruple,Domestic,4/13/1994,omorrison@pokeacademy.edu
Walton,Ty,Ent First Year,Wailord House,405,Single,Domestic,1/11/1990,twalton@pokeacademy.edu
Lee,Jessica,Ent First Year,Cubone House,414,Triple,Domestic,6/9/1990,jlee@pokeacademy.edu
Myers,Kiersten,Ent First Year,Zapdos House,215,Quadruple,Domestic,5/2/1998,kmyers@pokeacademy.edu
Norris,Marco,Ent First Year,Raichu House,504,Single,Domestic,4/1/1996,mnorris@pokeacademy.edu
Munoz,Kellie,Ent First Year,Wailord House,106,Triple,Domestic,2/2/2001,kmunoz@pokeacademy.edu
Maldonado,Oscar,Ent First Year,Caterpie House,413,Single,Domestic,7/3/1994,omaldonado@pokeacademy.edu
Mckay,Lila,Ent Transfer,Mew House,106,Quadruple,Domestic,11/24/2000,lmckay@pokeacademy.edu
Mcintosh,Solomon,Ent First Year,Cyndaquil House,304,Double,Domestic,9/6/1994,smcintosh@pokeacademy.edu
Humphrey,Miriam,Ent First Year,Squirtle House,501,Triple,Domestic,10/3/2004,mhumphrey@pokeacademy.edu
Harrell,Maranda,Ent First Year,Rowlet House,504,Single,Domestic,2/9/2001,mharrell@pokeacademy.edu
Perez,Keira,Ent First Year,Moltres House,301,Triple,Domestic,7/19/2004,kperez@pokeacademy.edu
Oliver,Jabari,Ent First Year,Raichu House,310,Single,International,4/3/1993,joliver@pokeacademy.edu
Strong,Renee,Ent Transfer,Piplup House,110,Double,Domestic,7/19/2002,rstrong@pokeacademy.edu
Simmons,Cristian,Ent First Year,Cyndaquil House,507,Double,Domestic,4/1/1991,csimmons@pokeacademy.edu
Meza,Yvette,Ent First Year,Umbreon House,415,Double,Domestic,4/27/2001,ymeza@pokeacademy.edu
Montgomery,Jocelyn,Ent Transfer,Ho-Oh House,201,Triple,Domestic,4/11/2005,jmontgomery@pokeacademy.edu
Cross,Dewayne,Ent First Year,Bulbasaur House,308,Quadruple,International,12/5/2005,dcross@pokeacademy.edu
Herrera,Anna,Ent Transfer,Pidgey House,505,Double,Domestic,9/23/1997,aherrera@pokeacademy.edu
Stokes,Valentina,Ent First Year,Charmander House,309,Double,Domestic,5/22/1990,vstokes@pokeacademy.edu
Baker,Gaige,Ent Transfer,Caterpie House,417,Triple,Domestic,7/1/1996,gbaker@pokeacademy.edu
Jordan,Aryanna,Ent First Year,Vulpix House,403,Triple,Domestic,4/26/2003,ajordan@pokeacademy.edu
Ryan,Liana,Ent First Year,Lickitung House,503,Triple,Domestic,9/26/1997,lryan@pokeacademy.edu
Keith,Brady,Ent First Year,Raichu House,415,Single,Domestic,5/23/2004,bkeith@pokeacademy.edu
Moody,Joel,Ent First Year,Articuno House,407,Triple,International,8/6/1992,jmoody@pokeacademy.edu
Walsh,Mercedes,Ent Transfer,Piplup House,109,Triple,Domestic,9/24/1996,mwalsh@pokeacademy.edu
Conley,Darion,Ent First Year,Cubone House,107,Single,Domestic,11/26/2001,dconley@pokeacademy.edu
Woodward,Rafael,Ent Transfer,Bulbasaur House,313,Triple,International,6/18/2003,rwoodward@pokeacademy.edu
Bean,Ellis,Ent First Year,Muk House,101,Quadruple,Domestic,6/1/2005,ebean@pokeacademy.edu
Moss,Roy,Ent First Year,Spoink House,311,Quadruple,Domestic,12/15/1999,rmoss@pokeacademy.edu
Ross,Noel,Ent First Year,Pidgey House,203,Quadruple,International,4/3/1997,nross@pokeacademy.edu
Schmidt,Sophie,Ent First Year,Spoink House,209,Quadruple,International,9/1/1997,sschmidt@pokeacademy.edu
Whitney,Joshua,Ent Transfer,Moltres House,209,Quadruple,Domestic,5/26/1996,jwhitney@pokeacademy.edu
Stanley,Dominik,Ent Transfer,Vulpix House,505,Quadruple,International,12/28/1996,dstanley@pokeacademy.edu
Luna,Sonia,Ent First Year,Cubone House,508,Quadruple,International,6/16/1995,sluna@pokeacademy.edu
Zavala,Harmony,Ent First Year,Pidgey House,306,Quadruple,International,2/5/2005,hzavala@pokeacademy.edu
Holt,Devon,Ent First Year,Ho-Oh House,402,Double,Domestic,1/9/1993,dholt@pokeacademy.edu
Salazar,Chasity,Ent First Year,Charmander House,109,Triple,Domestic,1/25/2001,csalazar@pokeacademy.edu
Cline,Perry,Ent First Year,Ditto House,201,Quadruple,Domestic,12/13/1999,pcline@pokeacademy.edu
Gonzales,Deborah,Ent First Year,Sylveon House,214,Triple,Domestic,6/28/2000,dgonzales@pokeacademy.edu
Hernandez,Isai,Ent First Year,Rowlet House,102,Double,Domestic,11/8/1993,ihernandez@pokeacademy.edu
Riddle,Xavier,Ent First Year,Ivysaur House,403,Single,International,5/22/2003,xriddle@pokeacademy.edu
Callahan,Darren,Ent First Year,Pikachu Hall,103,Triple,Domestic,3/25/2003,dcallahan@pokeacademy.edu
Irwin,Abbigail,Ent First Year,Moltres House,306,Single,Domestic,11/1/2004,airwin@pokeacademy.edu
Dunn,Dasia,Ent First Year,Mudkip House,507,Quadruple,Domestic,12/1/2003,ddunn@pokeacademy.edu
Davies,Katlyn,Ent Transfer,Lickitung House,215,Single,Domestic,6/3/1998,kdavies@pokeacademy.edu
Cochran,Kasandra,Ent First Year,Charmander House,104,Triple,International,2/10/2003,kcochran@pokeacademy.edu
Duran,Juliet,Ent Transfer,Piplup House,104,Quadruple,International,3/10/1995,jduran@pokeacademy.edu
Wolf,Tomas,Ent First Year,Charmander House,302,Double,Domestic,5/1/2003,twolf@pokeacademy.edu
Strong,Raheem,Ent First Year,Ditto House,302,Double,Domestic,7/17/1990,rstrong@pokeacademy.edu
Juarez,Kiersten,Ent First Year,Torterra House,203,Quadruple,International,3/25/1994,kjuarez@pokeacademy.edu
Dodson,Jessie,Ent First Year,Gengar House,107,Quadruple,Domestic,6/23/1990,jdodson@pokeacademy.edu
Munoz,Bernard,Ent First Year,Pikachu Hall,106,Single,Domestic,11/6/1993,bmunoz@pokeacademy.edu
Norton,Efrain,Ent First Year,Regice House,307,Quadruple,Domestic,6/2/1996,enorton@pokeacademy.edu
Hughes,Dion,Ent First Year,Mudkip House,509,Double,Domestic,1/18/1999,dhughes@pokeacademy.edu
Carrillo,Abigayle,Ent First Year,Ho-Oh House,207,Quadruple,Domestic,12/7/1994,acarrillo@pokeacademy.edu
Vasquez,Marlee,Ent First Year,Lickitung House,508,Double,Domestic,10/16/1993,mvasquez@pokeacademy.edu
Zuniga,Ayanna,Ent Transfer,Zapdos House,408,Quadruple,Domestic,8/27/1997,azuniga@pokeacademy.edu
Ayala,Precious,Ent First Year,Muk House,403,Double,Domestic,8/30/1992,payala@pokeacademy.edu
Stone,Destin,Ent First Year,Sylveon House,109,Triple,Domestic,6/26/2005,dstone@pokeacademy.edu
Lam,Estrella,Ent First Year,Farfetch'd House,110,Single,International,1/6/1999,elam@pokeacademy.edu
Goodman,Maribel,Ent First Year,Raichu House,212,Quadruple,International,11/20/1993,mgoodman@pokeacademy.edu
Lozano,Jaycee,Ent First Year,Vulpix House,311,Double,Domestic,4/8/1999,jlozano@pokeacademy.edu
Joyce,Davion,Ent Transfer,Sylveon House,206,Double,International,3/10/1990,djoyce@pokeacademy.edu
Hebert,Kennedy,Ent Transfer,Charmander House,108,Quadruple,International,1/31/2003,khebert@pokeacademy.edu
Gaines,Kaia,Ent Transfer,Torterra House,215,Triple,Domestic,8/28/1992,kgaines@pokeacademy.edu
Wyatt,Zaria,Ent Transfer,Ho-Oh House,502,Triple,Domestic,9/28/1995,zwyatt@pokeacademy.edu
Fleming,Antonio,Ent First Year,Ho-Oh House,504,Triple,Domestic,9/26/1998,afleming@pokeacademy.edu
Barr,Ian,Ent First Year,Ditto House,215,Single,International,6/22/2003,ibarr@pokeacademy.edu
Mccarty,Jazmin,Ent First Year,Umbreon House,208,Single,Domestic,2/20/2003,jmccarty@pokeacademy.edu
Ruiz,Caitlynn,Ent First Year,Vulpix House,201,Double,Domestic,12/3/1996,cruiz@pokeacademy.edu
Rubio,Valentin,Ent First Year,Ditto House,107,Double,International,10/13/1995,vrubio@pokeacademy.edu
Floyd,Mya,Ent Transfer,Raichu House,206,Triple,Domestic,9/2/2005,mfloyd@pokeacademy.edu
Hester,Kane,Ent First Year,Lickitung House,304,Single,Domestic,1/12/1992,khester@pokeacademy.edu
Cabrera,Myah,Ent First Year,Pidgey House,415,Triple,Domestic,5/2/1996,mcabrera@pokeacademy.edu
Park,Alanna,Ent First Year,Bayleef House,509,Single,Domestic,10/22/1993,apark@pokeacademy.edu
Grant,Ryan,Ent First Year,Sylveon House,414,Double,International,5/20/1999,rgrant@pokeacademy.edu
Robles,Diane,Ent Transfer,Leafeon House,405,Double,International,9/3/1991,drobles@pokeacademy.edu
Francis,Terrance,Ent First Year,Gengar House,511,Quadruple,International,10/5/1997,tfrancis@pokeacademy.edu
Dudley,Kameron,Ent First Year,Articuno House,213,Double,Domestic,2/6/2000,kdudley@pokeacademy.edu
Cain,Paxton,Ent First Year,Lickitung House,101,Quadruple,Domestic,7/24/1992,pcain@pokeacademy.edu
Gould,Tiana,Ent First Year,Raichu House,410,Single,Domestic,10/12/2000,tgould@pokeacademy.edu
Krause,Demetrius,Ent First Year,Farfetch'd House,406,Quadruple,Domestic,11/1/2004,dkrause@pokeacademy.edu
Massey,Jalon,Ent First Year,Oddish House,507,Double,Domestic,6/4/1990,jmassey@pokeacademy.edu
Santiago,Rohan,Ent Transfer,Wailord House,210,Single,Domestic,11/27/1990,rsantiago@pokeacademy.edu
Nguyen,Estefania,Ent First Year,Piplup House,308,Double,International,1/23/1993,enguyen@pokeacademy.edu
Arellano,Joelle,Ent First Year,Vulpix House,214,Double,Domestic,1/20/1999,jarellano@pokeacademy.edu
Douglas,Khalil,Ent First Year,Pidgey House,206,Quadruple,International,11/29/1995,kdouglas@pokeacademy.edu
Carrillo,Kristofer,Ent First Year,Caterpie House,403,Quadruple,International,7/11/1999,kcarrillo@pokeacademy.edu
Vega,Ismael,Ent First Year,Clefairy House,414,Single,Domestic,3/20/2004,ivega@pokeacademy.edu
Salas,Harvey,Ent First Year,Piplup House,209,Single,International,10/31/2002,hsalas@pokeacademy.edu
Fletcher,Kian,Ent First Year,Cubone House,416,Single,Domestic,9/8/2000,kfletcher@pokeacademy.edu
Zuniga,William,Ent Transfer,Moltres House,108,Double,Domestic,1/9/2003,wzuniga@pokeacademy.edu
Morse,Caitlyn,Ent Transfer,Moltres House,207,Quadruple,Domestic,11/23/1991,cmorse@pokeacademy.edu
Fox,Leon,Ent First Year,Mew House,102,Double,Domestic,3/16/2004,lfox@pokeacademy.edu
Hoover,Zachery,Ent First Year,Luxio House,508,Double,Domestic,10/24/2004,zhoover@pokeacademy.edu
Duncan,Demarcus,Ent First Year,Farfetch'd House,103,Double,Domestic,10/26/1993,dduncan@pokeacademy.edu
Flynn,Madyson,Ent First Year,Ivysaur House,411,Triple,International,7/1/1992,mflynn@pokeacademy.edu
Cooper,Syed,Ent First Year,Gengar House,406,Double,Domestic,5/26/2003,scooper@pokeacademy.edu
Hunt,Colt,Ent First Year,Mudkip House,205,Single,Domestic,3/22/1998,chunt@pokeacademy.edu
Lamb,Nicolas,Ent First Year,Farfetch'd House,308,Double,Domestic,8/4/1990,nlamb@pokeacademy.edu
Strickland,Aubrey,Ent First Year,Farfetch'd House,304,Double,Domestic,9/19/1990,astrickland@pokeacademy.edu
Bradley,Nathaniel,Ent First Year,Leafeon House,402,Double,Domestic,1/19/1995,nbradley@pokeacademy.edu
Benitez,Deon,Ent Transfer,Umbreon House,308,Single,Domestic,5/4/1994,dbenitez@pokeacademy.edu
Liu,Hailey,Ent First Year,Articuno House,407,Triple,Domestic,12/31/1992,hliu@pokeacademy.edu
Maxwell,Lloyd,Ent First Year,Wailord House,312,Single,Domestic,2/24/2003,lmaxwell@pokeacademy.edu
Alvarado,Kristine,Ent First Year,Leafeon House,412,Double,International,3/7/2006,kalvarado@pokeacademy.edu
Robles,Marlon,Ent First Year,Torterra House,308,Double,International,5/12/2004,mrobles@pokeacademy.edu
Roman,Ashly,Ent First Year,Wailord House,416,Quadruple,Domestic,5/3/2006,aroman@pokeacademy.edu
Bowman,Denise,Ent First Year,Oddish House,509,Single,Domestic,6/16/1991,dbowman@pokeacademy.edu
Banks,Lloyd,Ent First Year,Charmander House,104,Single,Domestic,1/3/1992,lbanks@pokeacademy.edu
Stanley,Kirstin,Ent Transfer,Spoink House,503,Quadruple,Domestic,2/22/1999,kstanley@pokeacademy.edu
Wilkinson,Emanuel,Ent Transfer,Umbreon House,304,Quadruple,Domestic,8/11/1994,ewilkinson@pokeacademy.edu
Mercer,Davis,Ent First Year,Vulpix House,408,Quadruple,Domestic,12/15/2000,dmercer@pokeacademy.edu
Gilbert,Lawson,Ent First Year,Bayleef House,102,Triple,Domestic,7/15/1996,lgilbert@pokeacademy.edu
Pratt,Katlynn,Ent First Year,Charmander House,309,Triple,International,1/2/1996,kpratt@pokeacademy.edu
Goodwin,Anne,Ent Transfer,Cyndaquil House,211,Quadruple,Domestic,9/21/2004,agoodwin@pokeacademy.edu
Bernard,Sydnie,Ent First Year,Pidgey House,207,Triple,Domestic,9/28/2001,sbernard@pokeacademy.edu
Bradshaw,Scott,Ent First Year,Articuno House,509,Triple,International,8/18/1996,sbradshaw@pokeacademy.edu
Yates,Emma,Ent First Year,Articuno House,102,Single,Domestic,11/29/1996,eyates@pokeacademy.edu
